dataset,method,target_id,num_candidates,num_selected,mean_distance_selected,median_distance_selected,max_weight_selected,tau_t,guardrail_used,selected_sources_ordered
bciciv2a,softmax_tau,0,8,3,0.31794000000000006,0.30925,0.18892728649196672,0.6902999999999999,0,"2,6,3"
bciciv2a,softmax_tau,1,8,4,0.8730499999999999,0.86805,0.18517604153300588,1.1242999999999999,0,"5,3,7,0"
bciciv2a,softmax_tau,2,8,3,0.3358666666666667,0.2983,0.23158789521753578,0.6217999999999999,0,"7,0,5"
bciciv2a,softmax_tau,3,8,2,0.31396500000000005,0.31396500000000005,0.21168539478610765,0.79545,0,"4,0"
bciciv2a,softmax_tau,4,8,3,0.45278666666666667,0.4976,0.2146683990920224,0.6464000000000001,0,"3,6,2"
bciciv2a,softmax_tau,5,8,3,0.5354333333333333,0.53,0.1629213003828532,0.6396,0,"8,2,6"
bciciv2a,softmax_tau,6,8,4,0.3635125,0.329425,0.20195102030087825,0.55285,0,"8,0,7,4"
bciciv2a,softmax_tau,7,8,2,0.26445,0.26445,0.2330887526250761,0.66125,0,"2,6"
bciciv2a,softmax_tau,8,8,3,0.5039666666666667,0.4682,0.21665823767209091,0.8193,0,"6,5,2"
