dataset,method,target_id,num_candidates,num_selected,mean_distance_selected,median_distance_selected,near_comp_mean,fallback_used,selected_sources_ordered
bciciv2a,gmm2,0,8,3,0.31794000000000006,0.30925,0.31791263212520016,0,"2,6,3"
bciciv2a,gmm2,1,8,5,0.9292399999999998,0.9397,0.9035718416283782,0,"5,3,7,0,4"
bciciv2a,gmm2,2,8,7,0.5416857142857143,0.5791,0.5416917170162157,0,"7,0,5,4,6,8,3"
bciciv2a,gmm2,3,8,2,0.31396500000000005,0.31396500000000005,0.3139388741100771,0,"4,0"
bciciv2a,gmm2,4,8,7,0.6038228571428571,0.6379,0.6038346307082874,0,"3,6,2,5,7,8,0"
bciciv2a,gmm2,5,8,7,0.6085714285714287,0.6379,0.60857176532847,0,"8,2,6,4,7,1,0"
bciciv2a,gmm2,6,8,6,0.45444166666666663,0.4236,0.45443588629624926,0,"8,0,7,4,5,2"
bciciv2a,gmm2,7,8,2,0.26445,0.26445,0.26406949018303066,0,"2,6"
bciciv2a,gmm2,8,8,7,0.7017285714285715,0.7792,0.7017286751011617,0,"6,5,2,4,3,0,7"
